player_id,lnr_id,lnr_slug,name,team,team_code,position_group,position_raw,nationality,age,height_cm,weight_kg,season,matches_played,minutes_total,minutes_avg,yellow_cards,orange_cards,red_cards,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,tries_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_disc,axis_pow,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,rating_value,has_prior
lnr_2023,2023,sacha-lotrian,Sacha Lotrian,Clermont,CLR,FRONT_ROW,1ère ligne,France,25.0,180.0,100.0,2025-2026,10,290.0,29.0,0,0,0,16.28,,,0.0,,,,0.0,0.55,,,2.76,0.55,,,,,lnr,85.5,76.5,0.418,0,46,69,95,100,41,1ère Ligne,1L,42,Moyenne,False,Basse,False,42,73.9,,,,,,,,,,,,68.7,True
lnr_382,382,tom-raffy,Tom Raffy,Clermont,CLR,FLY_HALF,Demi d'ouverture,France,21.0,179.0,76.0,2025-2026,10,180.0,18.0,0,0,0,4.0,,,0.0,,,,0.0,0.0,,,9.78,0.0,,,,,lnr,60.7,67.7,0.247,0,0,73,40,100,0,Ouvreur,10,25,Basse,True,Basse,True,21,46.1,,,,,,,,,,,,67.7,False
lnr_661,661,lucas-dessaigne,Lucas Dessaigne,Clermont,CLR,BACK_ROW,3ème ligne,France,27.0,188.0,96.0,2025-2026,9,360.0,40.0,1,0,0,16.67,,,0.0,,,,0.0,0.0,,,1.11,0.22,,,,,lnr,50.5,61.8,0.422,0,0,42,94,30,25,3ème Ligne,3L,42,Moyenne,False,Basse,False,90,4.3,,,,,,,,,,,,66.8,True
lnr_667,667,etienne-falgoux,Etienne Falgoux,Clermont,CLR,FRONT_ROW,1ère ligne,France,33.0,183.0,105.0,2025-2026,9,316.0,35.1,0,0,0,9.11,,,0.0,,,,0.0,0.0,,,1.27,0.25,,,,,lnr,76.8,73.1,0.456,0,0,32,29,100,19,1ère Ligne,1L,46,Moyenne,False,Basse,False,72,54.1,,,,,,,,,,,,68.8,True
lnr_647,647,irae-vincynt-simone,I. Simone,Clermont,CLR,CENTRE,Centre,Nouvelle Zélande,30.0,193.0,105.0,2025-2026,9,398.0,44.2,0,0,0,6.83,,,0.0,,,,1.01,0.2,,,0.0,0.0,,,,,lnr,67.4,68.8,0.442,86,13,0,58,100,0,Centre,CTR,44,Moyenne,False,Basse,False,38,51.3,,,,,,,,,,,,68.4,True
lnr_2444,2444,lucas-tauzin,Lucas Tauzin,Clermont,CLR,WINGER,Ailier,France,27.0,187.0,94.0,2025-2026,9,518.0,57.6,0,0,0,3.4,,,0.15,,,,0.62,0.31,,,1.54,0.31,,,,,lnr,64.9,66.8,0.623,39,19,29,27,100,27,Ailier,AIL,62,Moyenne,False,Moyenne,False,32,21.2,,,,,,,,,,,,72.5,True
lnr_669,669,sebastien-bezy,S. Bezy,Clermont,CLR,SCRUM_HALF,Demi de mêlée,France,34.0,174.0,76.0,2025-2026,8,265.0,33.1,0,0,0,6.04,,,0.0,,,,0.91,1.81,,,1.51,0.3,,,,,lnr,78.7,73.2,0.367,64,84,21,49,100,21,Demi de mêlée,9,37,Basse,True,Basse,False,8,83.3,68.2,France,8,cluster_1,52.1,60.8,50.0,80.4,97.6,50.7,95.1,72.1,True
lnr_460,460,tevita-kasikasi-ratuva,T. Ratuva,Clermont,CLR,LOCK,2ème ligne,Fidji,30.0,198.0,122.0,2025-2026,8,550.0,68.8,0,0,0,7.71,,,0.44,,,,0.44,1.45,,,1.45,0.29,,,,,lnr,95.5,86.3,0.641,100,100,67,5,100,64,2ème Ligne,2L,64,Moyenne,False,Moyenne,False,2,98.6,82.2,FIJI,13,cluster_0,79.3,54.9,50.0,94.7,85.4,67.8,95.1,86.3,False
lnr_3233,3233,giorgi-dzmanashvili,G. Dzmanashvili,Clermont,CLR,FRONT_ROW,1ère ligne,Géorgie,23.0,186.0,122.0,2025-2026,7,151.0,21.6,0,0,0,8.48,,,0.0,,,,0.0,0.0,,,5.3,1.06,,,,,lnr,79.1,72.0,0.218,0,0,100,24,100,60,1ère Ligne,1L,22,Basse,True,Basse,True,92,41.4,,,,,,,,,,,,69.8,True
lnr_1745,1745,marcos-kremer,Marcos Kremer,Clermont,CLR,BACK_ROW,3ème ligne,Argentine,28.0,195.0,110.0,2025-2026,7,514.0,73.4,0,0,0,12.61,,,0.16,,,,0.0,0.31,,,0.0,0.0,,,,,lnr,67.8,68.7,0.603,0,29,0,57,100,9,3ème Ligne,3L,60,Moyenne,False,Moyenne,False,66,29.0,61.9,Argentine,106,cluster_1,58.1,50.7,50.0,85.5,69.4,51.2,85.2,69.0,True
lnr_696,696,alivereti-raka,A. Raka,Clermont,CLR,WINGER,Ailier,Fidji,31.0,189.0,94.0,2025-2026,5,304.0,60.8,0,0,0,1.58,,,0.26,,,,1.05,0.79,,,5.26,1.05,,,,,lnr,81.2,74.1,0.366,65,49,99,0,100,76,Ailier,AIL,37,Basse,True,Basse,False,7,85.0,,,,,,,,,,,,74.1,False
lnr_11002,11002,yerim-fall,Yerim Fall,Clermont,CLR,CENTRE,Centre,France,22.0,178.0,90.0,2025-2026,4,320.0,80.0,0,0,0,4.25,,,0.25,,,,0.0,0.25,,,2.5,0.5,,,,,lnr,60.0,66.4,0.355,0,16,57,23,100,55,Centre,CTR,36,Basse,True,Basse,True,54,31.2,,,,,,,,,,,,66.3,True
lnr_2456,2456,pierre-fouyssac,Pierre Fouyssac,Clermont,CLR,WINGER,Ailier,France,31.0,189.0,101.0,2025-2026,4,211.0,52.8,0,0,0,7.96,,,0.0,,,,0.38,1.14,,,0.0,0.0,,,,,lnr,64.8,68.7,0.254,24,71,0,98,100,0,Ailier,AIL,25,Basse,True,Basse,True,22,45.0,,,,,,,,,,,,72.5,True
lnr_12492,12492,axel-guillaud,Axel Guillaud,Clermont,CLR,FULLBACK,Arrière,France,19.0,189.0,86.0,2025-2026,4,231.0,57.8,0,0,0,0.69,,,0.0,,,,1.04,0.0,,,1.73,0.35,,,,,lnr,64.4,68.5,0.273,80,0,24,0,100,29,Arrière,ARR,27,Basse,True,Basse,True,15,56.1,,,,,,,,,,,,68.5,False
lnr_12343,12343,leo-michaux-vargas,L. Michaux Vargas,Clermont,CLR,LOCK,2ème ligne,France,18.0,,125.0,2025-2026,4,183.0,45.8,0,0,0,8.31,,,0.44,,,,0.0,0.87,,,0.0,0.0,,,,,lnr,82.3,72.6,0.213,0,61,0,12,100,23,2ème Ligne,2L,21,Basse,True,Basse,True,38,46.4,,,,,,,,,,,,72.6,False
lnr_709,709,george-moala,George Moala,Clermont,CLR,CENTRE,Centre,Nouvelle Zélande,35.0,188.0,99.0,2025-2026,3,181.0,60.3,0,0,0,3.54,,,0.0,,,,0.44,0.88,,,4.42,0.88,,,,,lnr,75.4,71.1,0.201,38,56,100,13,100,60,Centre,CTR,20,Basse,True,Basse,True,22,72.7,,,,,,,,,,,,70.6,True
lnr_648,648,mathys-belaubre,Mathys Belaubre,Clermont,CLR,CENTRE,Centre,France,21.0,186.0,107.0,2025-2026,2,158.0,79.0,0,0,0,5.57,,,0.0,,,,0.0,0.51,,,0.0,0.0,,,,,lnr,55.1,67.4,0.175,0,32,0,41,100,0,Centre,CTR,18,Basse,True,Basse,True,49,37.7,,,,,,,,,,,,66.8,True
lnr_13540,13540,timeo-frier,Timéo Frier,Clermont,CLR,CENTRE,Centre,France,,,,2025-2026,2,40.0,20.0,0,0,0,2.0,,,2.0,,,,0.0,0.0,,,0.0,0.0,,,,,lnr,52.7,69.2,0.044,0,0,0,0,100,40,Centre,CTR,4,Basse,True,Basse,True,37,53.2,,,,,,,,,,,,69.2,False
lnr_655,655,matheo-frisach,Mathéo Frisach,Clermont,CLR,FRONT_ROW,1ère ligne,France,20.0,188.0,127.0,2025-2026,2,88.0,44.0,0,0,0,10.91,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,,lnr,77.0,70.9,0.127,0,0,0,46,100,0,1ère Ligne,1L,13,Basse,True,Basse,True,106,32.5,,,,,,,,,,,,67.4,True
lnr_2008,2008,leon-seilala-lam,L. Lam,Clermont,CLR,FRONT_ROW,1ère ligne,Samoa américain,37.0,183.0,102.0,2025-2026,1,68.0,,0,0,0,5.88,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,,lnr,72.9,70.3,0.098,0,0,0,0,100,0,1ère Ligne,1L,10,Basse,True,Basse,True,119,24.2,74.9,SAMOA,18,cluster_0,58.1,53.6,50.0,90.8,81.7,55.4,88.8,72.0,True
