lnr_slug,name,team,n_matches_consistency,consistency_raw,axis_consistency
matheo-frisach,Mathéo FRISACH,ASM Clermont,3,0.9202,91.3
thomas-larregain,Thomas LARREGAIN,US Montauban,3,0.9198,91.2
herschel-jantjies-1,H. JANTJIES,Aviron Bayonnais,9,0.9191,91.1
uini-atonio,Uini ATONIO,Stade Rochelais,3,0.919,91.1
yerim-fall,Yerim FALL,ASM Clermont,4,0.9193,91.1
luke-whitelock,Luke WHITELOCK,Section Paloise,14,0.9187,91.0
karl-sorin,Karl SORIN,Stade Rochelais,10,0.9186,91.0
donovan-taofifenua,D. TAOFIFENUA,Montpellier Hérault Rugby,8,0.9182,90.9
david-patrick-jackson,D. JACKSON,LOU Rugby,6,0.9184,90.9
joris-segonds,Joris SEGONDS,Aviron Bayonnais,18,0.9179,90.8
thomas-fortunel,Thomas FORTUNEL,US Montauban,11,0.9172,90.7
iakopo-petelo-mapu,I. PETELO MAPU,Stade Français Paris,3,0.9174,90.7
ewan-johnson,Ewan JOHNSON,Aviron Bayonnais,17,0.9169,90.6
vaea-tangitau-lapota-fifita,V. FIFITA,US Montauban,16,0.916,90.4
clement-bitz,C. BITZ,US Montauban,10,0.914,90.0
bruce-devaux,Bruce DEVAUX,USA Perpignan,18,0.914,90.0
giorgi-tetrashvili,G. TETRASHVILI,USA Perpignan,13,0.9136,89.9
daniel-brennan,Daniel BRENNAN,RC Toulon,10,0.9134,89.8
jermaine-ainsley,J. AINSLEY,LOU Rugby,13,0.913,89.7
etienne-falgoux,Etienne FALGOUX,ASM Clermont,8,0.9124,89.6
lois-guerois-galisson,L. GUEROIS GALISSON,Castres Olympique,19,0.912,89.5
nemo-gunther-roelofse,N. ROELOFSE,USA Perpignan,9,0.9118,89.5
giorgi-javakhia,Giorgi JAVAKHIA,RC Toulon,7,0.9102,89.1
thierry-paiva,Thierry PAIVA,Stade Français Paris,11,0.9081,88.7
nicolas-corato,Nicolas CORATO,Castres Olympique,13,0.9062,88.2
tom-ecochard,Tom ECOCHARD,USA Perpignan,16,0.9059,88.2
william-collier,William COLLIER,Castres Olympique,9,0.9057,88.1
