Age,Height in cm,Weight in kg,Tries_avg,Try Assists_avg,Clean Breaks_avg,Defenders Beaten_avg,Meters Run_avg,Offload_avg,Passes_avg,Runs_avg,Missed Tackles_avg,Tackles_avg,Turnovers Conceded_avg,Penalties Conceded_avg,Yellow Cards_avg,RucksWon_avg,ScrumsRatio_avg,Tackle Ratio_avg,Lineouts Won_avg,Conversion Goals_avg,Penalty Goals_avg,Drop Goals Converted_avg,name,matches_intl,position_naim,sub_caps,is_forward,team_code,cluster,axis_course,axis_distrib,axis_kicking,axis_physique,axis_rigueur,axis_danger,axis_melee,rating_intl,photo_url,position_label,team
36.0,195.58,106.59,50.0,50.0,56.68181818181819,55.81719550626669,61.56554552565378,58.17449664429531,54.54040482038151,67.09603524229078,82.80105710549262,93.19582923746668,87.75,50.0,100.0,100.0,94.5990733259683,96.55845803938192,50.0,50.0,50.0,50.0,T WOOD,8,FL,12.0,1,ENG,cluster_1,60.6,53.4,50.0,94.2,72.2,50.8,89.5,64.4,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Flanker,Angleterre
35.0,190.5,122.92,57.76829268292683,50.0,50.0,51.70259380671221,51.90499957977193,53.1900474709445,51.162786600341605,59.097668421618145,75.60082505794546,75.68671843157134,92.82926829268291,50.0,64.14634146341464,94.38629676334592,96.5978277827174,91.12465651301741,50.0,50.0,50.0,50.0,D COLE,41,P,16.0,1,ENG,cluster_1,56.1,52.3,50.0,88.5,56.8,58.0,91.3,63.1,https://www.lequipe.fr/_medias/img-sportif-rugby/4619/100,Pilier,Angleterre
24.0,170.18,81.65,81.85,98.47072200113705,74.05454545454545,87.23005124010683,88.03111853370821,72.88859060402687,87.11780940661885,81.39453744493397,100.0,80.16851565791323,58.35,86.92710814673653,63.25000000000001,87.9549180327869,82.15011459758931,87.645583853099,50.66543209876543,86.06770320802994,100.0,50.0,M SMITH,20,FH,1.0,0,ENG,cluster_1,82.7,85.7,79.4,87.7,70.2,85.3,82.2,82.6,https://www.lequipe.fr/_medias/img-sportif-rugby/9740/100,Ouvreur,Angleterre
33.0,198.12,122.92,58.84722222222222,55.38563577790411,57.42424242424243,54.52448539376298,55.17362065361135,53.63310961968681,52.522447122434166,71.93127753303969,87.48692240627727,98.75719702289007,68.69444444444444,74.58048806309881,79.58333333333334,94.30203676105305,96.49115522464577,94.53993696958791,50.0,50.0,50.0,50.0,G KRUIS,36,L,16.0,1,ENG,cluster_1,70.2,56.2,50.0,90.4,59.6,75.5,90.8,68.5,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,2e Ligne,Angleterre
29.0,180.34,119.75,54.55,52.769755542922105,60.6909090909091,56.64822343573336,59.183772699405964,61.210738255033576,55.578211636468716,79.30748898678421,77.84742807323455,80.40359500070217,86.7,50.0,100.0,94.37466948704396,91.4965290945966,91.45862303317465,50.09506172839506,50.0,50.0,50.0,K SINCKLER,70,P,20.0,1,ENG,cluster_1,93.0,77.0,50.0,88.8,63.8,76.3,86.3,74.8,https://www.lequipe.fr/_medias/img-sportif-rugby/6377/100,Pilier,Angleterre
31.0,180.34,93.89,60.88888888888889,94.7422049241265,69.87412587412588,67.30242765966503,64.03424838344401,85.2132163138875,77.21332376318406,76.3812944764487,100.0,88.1853240145615,61.051282051282044,83.23988223940582,100.0,93.11716489874632,92.77404730751437,81.89337212559427,50.25593542260209,100.0,100.0,79.5625942684769,O FARRELL,78,C,14.0,0,ENG,cluster_1,69.5,88.1,93.5,85.2,78.2,72.8,92.8,78.9,https://www.lequipe.fr/_medias/img-sportif-rugby/5712/100,Centre,Angleterre
32.0,180.34,107.95,66.12658227848101,67.1794964054663,55.41311852704258,57.06899707090636,58.01583756964594,60.76136267097104,53.01735763379784,69.83061395193222,69.92975621599551,86.72990744081957,85.1139240506329,90.07122137726826,90.69620253164557,93.36540746020431,92.59253656763552,94.98109957567115,87.73589623378655,50.0,50.0,50.0,J GEORGE,79,H,29.0,1,ENG,cluster_1,71.5,79.6,50.0,91.3,77.1,76.5,88.4,79.9,https://www.lequipe.fr/_medias/img-sportif-rugby/2963/100,Talonneur,Angleterre
34.0,200.66,112.94,51.74043715846994,53.178408000074555,53.50521609538003,62.58802962011809,62.72530110210319,62.86478160413689,54.689270552197286,86.48513035314514,72.7379693283977,100.0,70.27868852459017,73.21128718593552,100.0,93.1045081967214,93.02009992250234,97.01823944822348,50.0,50.0,50.0,50.0,C LAWES,61,FL,29.0,1,ENG,cluster_1,69.9,60.2,50.0,92.4,74.1,55.0,87.9,69.1,https://www.lequipe.fr/_medias/img-sportif-rugby/5079/100,Flanker,Angleterre
29.0,180.34,86.64,69.05555555555556,50.0,82.89510489510491,97.13419948667368,82.81333595689979,75.1522973670625,52.0955714555607,82.35892917655036,83.6421098517873,73.90977930930187,76.12820512820512,83.23988223940582,100.0,93.14754098360656,87.9175227134071,86.40474774067171,50.34124723013612,50.0,50.0,50.0,J NOWELL,39,W,12.0,0,ENG,cluster_1,86.3,61.3,50.0,88.4,84.2,74.7,87.9,74.5,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Ailier,Angleterre
30.0,187.96,86.64,62.49019607843137,80.41300203992911,82.49197860962568,69.61877700152688,75.13967318741547,61.54046585076986,58.680185686023464,78.40196942213012,100.0,71.18787017685885,55.803921568627466,87.18343935954563,100.0,94.00941750959193,90.41558948207084,81.83670947147277,50.0,51.66402321605675,50.0,50.0,H SLADE,51,C,12.0,0,ENG,cluster_1,76.4,69.1,50.6,85.4,77.6,73.4,90.4,72.6,https://www.lequipe.fr/_medias/img-sportif-rugby/6858/100,Centre,Angleterre
27.0,198.12,107.95,53.9320987654321,50.0,51.979797979797965,50.86180674166914,52.93728140334064,50.0,51.849794556451734,63.8149779735683,66.6608544027899,73.7691335486589,85.48148148148148,83.05365870873254,100.0,92.326607818411,91.28770400210043,92.0963131005736,50.0,50.0,50.0,50.0,C EWELS,27,L,13.0,1,ENG,cluster_1,57.7,50.0,50.0,88.0,78.3,53.1,85.6,71.4,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,2e Ligne,Angleterre
30.0,177.8,85.73,61.61197916666666,100.0,65.86931818181819,64.9065634848084,66.03405175147454,69.41442953020137,86.53607003900747,74.76982378854629,78.11519180470796,77.42592332537565,80.09375,89.78680323963793,100.0,93.97610447346487,94.50047552200523,92.72334443339642,50.5198688271605,63.92319425309979,66.80717882385557,86.02941176470623,G FORD,64,FH,19.0,0,ENG,cluster_1,68.0,84.8,71.9,93.1,88.2,72.7,94.5,79.2,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Ouvreur,Angleterre
