lnr_id,name,team,matches_verified,starter_rate,form_window,form_tackles_per80,form_line_breaks_per80,form_offloads_per80,form_turnovers_per80
12408,Diego JURD,Stade Rochelais,6,0.333,5,3.85,0.43,0.86,0.0
1014,Dillyn LEYDS,Stade Rochelais,12,0.917,5,2.37,1.08,0.65,0.0
2501,Dimitri DELIBES,Stade Toulousain,10,0.7,5,4.78,0.8,1.33,0.27
2448,Dorian ALDEGHERI,Stade Toulousain,11,0.0,5,9.39,0.35,0.0,0.0
2385,Duncan PAIA'AUA,USA Perpignan,4,0.75,4,4.93,0.29,0.29,0.0
1078,Dylan CRETIN,LOU Rugby,14,0.929,5,10.75,0.0,0.22,0.65
2632,E. BULIRUARUA,USA Perpignan,11,0.636,5,8.06,1.15,1.15,0.0
11820,E. GOODHUE,Castres Olympique,14,0.714,5,9.82,0.47,0.94,0.23
12646,E. JABEA NJOCKE,Racing 92,6,0.0,5,17.84,0.58,0.0,0.0
2498,E. MEAFOU,Stade Toulousain,7,0.714,5,9.06,0.0,1.26,0.75
12628,E. TUILAGI,Aviron Bayonnais,10,0.8,5,3.62,0.84,0.56,0.0
12363,Efrain ELIAS,Stade Toulousain,13,0.308,5,10.24,0.32,0.96,0.32
2349,Emerick SETIANO,Aviron Bayonnais,14,0.143,5,7.46,0.0,0.0,0.0
1927,Emilien GAILLETON,Section Paloise,11,0.727,5,5.76,0.61,0.0,0.3
1440,Enzo FORLETTA,Montpellier Hérault Rugby,15,0.2,5,10.4,0.0,0.0,0.0
427,Enzo HERVE,Castres Olympique,8,0.5,5,6.26,0.35,0.35,0.0
431,Esteban ABADIE,RC Toulon,16,0.562,5,11.73,0.0,0.53,0.0
2607,Esteban CAPILLA,Aviron Bayonnais,11,0.636,5,10.92,0.27,0.27,0.82
1068,Esteban GONZALEZ,LOU Rugby,11,0.182,5,6.27,0.52,0.0,0.0
1125,Ethan DUMORTIER,LOU Rugby,12,0.833,5,6.57,1.71,0.29,0.0
12374,Ethan TIA,Stade Français Paris,1,0.0,1,19.51,0.0,1.95,0.0
667,Etienne FALGOUX,ASM Clermont,9,0.0,5,6.67,0.0,0.0,0.0
657,Etienne FOURCADE,ASM Clermont,14,0.0,5,10.0,0.62,0.0,0.0
2569,Ewan JOHNSON,Aviron Bayonnais,17,0.471,5,8.75,0.0,0.0,0.26
10722,F. BRADSHAW RYAN,US Montauban,1,0.0,1,6.67,0.0,3.33,0.0
11716,F. BRAU-BOIRIE,Section Paloise,13,1.0,5,7.4,0.8,0.2,0.0
2453,F. CROS,Stade Toulousain,2,1.0,2,19.31,0.55,0.0,1.1
280,F. MORI,Aviron Bayonnais,7,0.714,5,4.0,0.31,0.31,0.0
14041,F. POPOALII,US Montauban,0,0.0,0,,,,
556,F. TUKINO,Castres Olympique,6,0.333,5,9.87,0.0,0.35,0.35
624,F. VANVERBERGHE,Castres Olympique,15,0.667,5,16.8,0.0,0.0,0.0
2157,Fabien SANCONNIE,Racing 92,7,0.0,5,17.0,0.0,0.0,0.39
2658,Facundo BOSCH,Aviron Bayonnais,15,0.067,5,13.52,0.0,1.83,0.73
2335,Facundo ISA,Section Paloise,16,0.5,5,12.5,0.0,0.91,0.45
10998,Facundo POMPONIO,US Montauban,13,0.0,5,7.34,0.0,0.0,0.0
1438,Florian VERHAEGHE,Montpellier Hérault Rugby,11,0.727,5,9.27,0.2,1.81,0.0
1329,Fred QUERCY,US Montauban,9,0.778,5,10.3,0.0,0.0,0.3
1095,Félix LAMBEY,LOU Rugby,9,0.222,5,17.82,0.0,0.38,0.38
980,G. ALLDRITT,Stade Rochelais,16,0.812,5,9.42,0.0,1.47,0.84
13654,G. ANSCOMBE,Aviron Bayonnais,5,0.0,5,7.8,0.0,0.0,0.0
1861,G. ARFEUIL,Section Paloise,16,0.75,5,3.16,0.26,0.26,0.0
1009,G. COLOMBE REAZEL,Stade Toulousain,8,0.0,5,6.63,0.47,0.47,0.0
2484,G. CRAMONT,Stade Toulousain,11,0.0,5,9.04,0.9,2.26,0.9
612,G. DOUBRERE,Castres Olympique,9,0.111,5,9.14,0.0,0.0,0.0
1892,G. DUCAT,Castres Olympique,13,0.692,5,7.37,0.0,0.22,0.0
3233,G. DZMANASHVILI,ASM Clermont,7,0.0,5,8.5,0.0,0.0,0.0
13780,G. GALVAN MONSALVE,Stade Rochelais,0,0.0,0,,,,
2190,G. GOGICHASHVILI,Racing 92,17,0.0,5,15.67,0.0,0.0,0.0
1812,G. HABEL KUFFNER,Aviron Bayonnais,7,0.571,5,7.8,0.29,0.58,0.0
2201,G. KHARAISHVILI,Racing 92,13,0.154,5,12.33,0.0,0.0,0.32
1962,G. KRETCHMANN,USA Perpignan,2,0.0,2,8.33,0.0,0.0,0.0
11728,G. LAPEGUE LAFAYE,Aviron Bayonnais,2,0.0,2,0.0,0.0,0.0,0.0
12577,G. LUCCHESI,RC Toulon,2,0.0,2,17.63,0.0,0.0,0.0
580,G. MARAVAT,Castres Olympique,12,0.25,5,11.97,0.0,0.0,0.0
1084,G. MARCHAND,LOU Rugby,15,0.267,5,15.24,0.0,0.0,1.14
2657,G. MARTOCQ,Aviron Bayonnais,11,0.636,5,7.23,0.0,0.26,0.0
603,G. PALIS,Castres Olympique,9,0.444,5,5.36,0.0,0.36,0.0
13832,G. PRISCIANTELLI,Racing 92,8,0.5,5,2.55,1.82,0.73,0.0
1990,G. TETRASHVILI,USA Perpignan,11,0.0,5,8.63,0.0,0.0,0.0
179,Gabin LORRE,LOU Rugby,11,0.818,5,3.89,0.86,0.86,0.0
2360,Gabin VILLIERE,RC Toulon,4,0.75,4,3.24,0.65,0.97,0.97
1444,Gabriel NGANDEBE,Montpellier Hérault Rugby,16,1.0,5,4.0,0.4,0.6,0.0
2168,Gael FICKOU,Racing 92,12,0.833,5,7.59,0.69,0.69,0.0
2300,Gaël DREAN,RC Toulon,13,1.0,5,3.82,1.01,0.6,0.0
638,Gaëtan BARLOT,Union Bordeaux-Bègles,10,0.1,5,15.17,0.0,1.9,0.76
1447,Gela APRASIDZE,USA Perpignan,7,0.143,5,5.49,0.0,0.46,0.0
709,George MOALA,ASM Clermont,3,0.667,3,3.54,0.44,0.88,0.0
12539,Giacomo NICOTERA,Stade Français Paris,13,0.231,5,15.18,0.0,0.0,0.29
184,Giorgi AKHALADZE,ASM Clermont,15,0.267,5,9.1,0.0,0.0,0.0
662,Giorgi BERIA,USA Perpignan,11,0.0,5,17.47,0.0,1.84,0.46
1621,Giorgi JAVAKHIA,RC Toulon,7,0.0,5,12.2,0.0,0.0,0.0
1811,Giorgi MELIKIDZE,Stade Français Paris,16,0.125,5,12.37,0.0,0.0,0.39
1887,Guram PAPIDZE,Section Paloise,7,0.143,5,15.27,0.0,0.36,0.0
13711,H. GONZÁLEZ HERNÁNDEZ,Aviron Bayonnais,3,0.0,3,9.41,0.0,0.0,1.18
13649,H. JANTJIES,Aviron Bayonnais,11,0.273,5,4.35,0.87,0.29,0.0
11987,H. MIOTTI,Montpellier Hérault Rugby,16,0.812,5,8.2,0.2,1.8,0.0
13371,H. PLUMMER,ASM Clermont,11,1.0,5,3.2,0.8,0.4,0.2
