player_id,name,team,position_group,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,carries_per80,meters_per80,passes_per80,kick_meters_per80,penalties_per80,offloads_per80,line_breaks_per80,turnovers_won_per80,turnovers_lost_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct
lnr_2989,Adam Vargas,Castres,WINGER,9,703.0,78.1,5.01,,,,,,,0.57,0.8,0.11,,1.14,,,,
lnr_595,A. Azar,Castres,FRONT_ROW,8,452.0,56.5,7.79,,,,,,,0.0,0.18,0.53,,0.0,,,,
lnr_591,Adrea Cocagi,Castres,CENTRE,8,510.0,63.8,9.88,,,,,,,0.47,0.0,0.31,,0.0,,,,
lnr_427,Enzo Herve,Castres,FLY_HALF,8,417.0,52.1,4.41,,,,,,,0.19,0.19,0.0,,5.76,,,,
lnr_592,Quentin Walcker,Castres,FRONT_ROW,8,421.0,52.6,9.31,,,,,,,0.0,0.19,0.0,,0.0,,,,
lnr_585,L. Chilachava,Castres,FRONT_ROW,7,177.0,25.3,6.33,,,,,,,0.45,0.0,0.0,,0.0,,,,
lnr_2596,N. Hulleu,Castres,WINGER,7,466.0,66.6,3.78,,,,,,,0.34,0.86,0.0,,3.43,,,,
lnr_2677,Remy Baget,Castres,WINGER,6,387.0,64.5,3.72,,,,,,,1.24,0.21,0.62,,1.03,,,,
lnr_637,Pierre Colonna,Castres,FRONT_ROW,6,197.0,32.8,11.37,,,,,,,0.0,0.0,0.0,,2.03,,,,
lnr_11838,Louka Guilhot,Castres,FLY_HALF,6,163.0,27.2,5.4,,,,,,,0.49,0.0,0.0,,3.93,,,,
lnr_1264,V. Ramototabua,Castres,WINGER,6,244.0,40.7,13.77,,,,,,,0.0,0.0,0.33,,3.28,,,,
lnr_556,F. Tukino,Castres,BACK_ROW,6,287.0,47.8,8.64,,,,,,,0.28,0.0,0.28,,0.0,,,,
lnr_687,Paul Jedrasiak,Castres,LOCK,5,242.0,48.4,9.59,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_553,Louis Le Brun,Castres,FLY_HALF,3,177.0,59.0,2.71,,,,,,,0.45,0.0,0.45,,6.78,,,,
lnr_533,Simon Meka,Castres,LOCK,3,153.0,51.0,13.07,,,,,,,0.0,0.0,0.0,,2.61,,,,
lnr_575,Leone Nakarawa,Castres,LOCK,3,95.0,31.7,4.21,,,,,,,4.21,0.0,0.0,,0.0,,,,
lnr_1084,G. Marchand,Lyon,FRONT_ROW,15,666.0,44.4,15.74,,,,,,,0.24,0.12,0.36,,0.0,,,,
lnr_857,Irakli Aptsiauri,Lyon,FRONT_ROW,14,590.0,42.1,14.24,,,,,,,0.14,0.0,0.27,,0.68,,,,
lnr_1081,Léo Berdeu,Lyon,FLY_HALF,14,743.0,53.1,5.81,,,,,,,1.08,0.43,0.0,,9.48,,,,
lnr_1068,Esteban Gonzalez,Lyon,SCRUM_HALF,14,365.0,26.1,7.23,,,,,,,0.22,1.32,0.0,,4.38,,,,
lnr_12591,J. Ainsley,Lyon,FRONT_ROW,13,671.0,51.6,11.92,,,,,,,0.12,0.12,0.12,,0.0,,,,
lnr_1700,Charlie Cassang,Lyon,SCRUM_HALF,13,638.0,49.1,5.14,,,,,,,0.75,0.38,0.0,,1.88,,,,
lnr_2200,T. Moukoro Abouem,Lyon,FRONT_ROW,13,471.0,36.2,17.49,,,,,,,0.0,0.34,0.34,,5.1,,,,
lnr_1083,J. Rey,Lyon,FRONT_ROW,13,570.0,43.8,14.6,,,,,,,0.0,0.14,0.0,,0.0,,,,
lnr_838,Janse Roux,Lyon,LOCK,13,519.0,39.9,14.34,,,,,,,0.0,0.0,0.31,,0.0,,,,
lnr_2277,J. Wainiqolo,Lyon,WINGER,13,970.0,74.6,5.11,,,,,,,1.4,1.73,0.0,,6.19,,,,
lnr_1125,Ethan Dumortier,Lyon,CENTRE,12,819.0,68.2,5.57,,,,,,,0.39,1.56,0.0,,2.44,,,,
lnr_2122,Martin Meliande,Lyon,FLY_HALF,12,651.0,54.2,2.95,,,,,,,0.61,0.49,0.12,,8.73,,,,
lnr_2165,Camille Chat,Lyon,FRONT_ROW,11,499.0,45.4,11.7,,,,,,,0.8,0.16,0.16,,0.8,,,,
lnr_179,Gabin Lorre,Lyon,FULLBACK,11,828.0,75.3,3.57,,,,,,,0.48,0.58,0.0,,1.74,,,,
lnr_1077,Arno Botha,Lyon,BACK_ROW,10,498.0,49.8,12.85,,,,,,,0.16,0.0,0.0,,0.0,,,,
lnr_1105,Killian Geraci,Lyon,LOCK,10,457.0,45.7,13.48,,,,,,,0.0,0.0,0.18,,1.75,,,,
lnr_1052,L. Allen,Lyon,BACK_ROW,9,451.0,50.1,17.92,,,,,,,0.0,0.0,1.42,,0.89,,,,
lnr_13410,I. Baleiwairiki,Lyon,CENTRE,9,528.0,58.7,8.64,,,,,,,0.91,1.06,0.15,,3.03,,,,
